Major,Gender,Admission
C,F,Rejected
B,M,Accepted
Other,F,Accepted
Other,M,Accepted
Other,M,Rejected
Other,M,Rejected
F,F,Accepted
Other,M,Accepted
Other,M,Rejected
A,M,Accepted
Other,F,Rejected
B,M,Accepted
C,M,Rejected
A,M,Rejected
Other,M,Rejected
Other,F,Rejected
A,M,Accepted
Other,F,Accepted
Other,M,Rejected
F,M,Rejected
Other,M,Rejected
C,M,Accepted
C,F,Rejected
Other,M,Rejected
Other,F,Rejected
Other,M,Rejected
Other,M,Rejected
Other,M,Rejected
C,M,Rejected
Other,M,Rejected
Other,M,Accepted
F,F,Rejected
F,M,Rejected
D,M,Rejected
Other,M,Rejected
Other,F,Rejected
Other,F,Rejected
C,F,Accepted
Other,M,Rejected
Other,M,Accepted
A,M,Rejected
Other,M,Accepted
A,M,Accepted
A,M,Rejected
Other,M,Rejected
Other,M,Accepted
Other,M,Accepted
F,M,Rejected
Other,M,Rejected
Other,M,Rejected
Other,F,Rejected
Other,M,Accepted
Other,M,Rejected
Other,M,Rejected
Other,M,Accepted
A,M,Rejected
Other,M,Rejected
Other,M,Accepted
C,F,Accepted
Other,F,Rejected
Other,M,Rejected
Other,M,Accepted
C,F,Rejected
Other,M,Rejected
Other,F,Rejected
Other,M,Accepted
E,M,Rejected
B,M,Rejected
A,M,Rejected
D,M,Accepted
C,F,Rejected
Other,M,Accepted
C,F,Rejected
C,M,Rejected
F,F,Rejected
Other,M,Rejected
B,M,Accepted
D,F,Rejected
Other,M,Accepted
Other,F,Rejected
Other,M,Rejected
Other,M,Accepted
Other,M,Accepted
D,F,Rejected
C,F,Accepted
C,F,Rejected
F,M,Rejected
Other,F,Rejected
Other,M,Accepted
Other,F,Rejected
Other,M,Accepted
C,M,Accepted
E,F,Accepted
F,F,Rejected
C,F,Accepted
Other,M,Rejected
Other,M,Rejected
D,M,Rejected
Other,M,Rejected
Other,F,Rejected
A,M,Accepted
Other,M,Rejected
Other,F,Accepted
B,M,Accepted
Other,M,Rejected
D,F,Rejected
Other,M,Rejected
D,M,Rejected
B,M,Rejected
F,M,Rejected
C,F,Accepted
Other,M,Rejected
Other,F,Accepted
Other,F,Accepted
D,F,Rejected
Other,F,Rejected
C,F,Rejected
F,M,Rejected
Other,M,Accepted
B,M,Rejected
Other,M,Accepted
Other,M,Rejected
A,M,Accepted
Other,M,Rejected
D,F,Rejected
D,F,Accepted
E,M,Accepted
D,M,Rejected
Other,M,Accepted
Other,M,Accepted
Other,M,Accepted
Other,F,Rejected
C,F,Rejected
B,M,Rejected
Other,F,Rejected
A,M,Rejected
Other,F,Accepted
F,M,Rejected
E,F,Accepted
E,F,Rejected
A,M,Accepted
Other,M,Accepted
F,M,Accepted
C,M,Accepted
A,M,Accepted
Other,M,Rejected
Other,M,Rejected
Other,M,Accepted
Other,M,Rejected
A,M,Accepted
E,M,Rejected
E,F,Rejected
B,M,Accepted
C,F,Accepted
Other,F,Accepted
A,F,Accepted
E,F,Rejected
A,M,Accepted
Other,M,Rejected
D,M,Rejected
Other,F,Rejected
D,M,Rejected
B,M,Rejected
Other,M,Accepted
A,M,Rejected
A,M,Accepted
B,M,Accepted
Other,F,Rejected
Other,M,Rejected
Other,F,Rejected
Other,F,Rejected
Other,F,Rejected
Other,F,Rejected
Other,F,Rejected
Other,M,Rejected
Other,M,Rejected
Other,F,Rejected
Other,M,Accepted
A,M,Accepted
Other,M,Rejected
Other,M,Accepted
A,M,Rejected
C,M,Rejected
Other,M,Rejected
B,M,Rejected
Other,M,Rejected
Other,M,Accepted
Other,F,Rejected
Other,M,Rejected
Other,F,Rejected
E,F,Accepted
Other,F,Rejected
F,F,Rejected
Other,F,Rejected
C,F,Rejected
Other,F,Accepted
Other,M,Accepted
A,M,Accepted
Other,M,Accepted
C,F,Rejected
Other,F,Rejected
A,M,Rejected
Other,F,Rejected
F,M,Rejected
A,M,Accepted
Other,F,Rejected
Other,F,Rejected
C,F,Rejected
A,M,Accepted
Other,M,Accepted
A,M,Accepted
Other,M,Rejected
Other,F,Rejected
A,M,Accepted
C,F,Accepted
Other,F,Rejected
Other,M,Accepted
Other,F,Rejected
F,M,Rejected
A,M,Rejected
E,F,Rejected
Other,M,Accepted
Other,M,Accepted
Other,F,Accepted
Other,M,Rejected
Other,M,Rejected
Other,M,Rejected
Other,M,Accepted
Other,F,Accepted
Other,F,Rejected
Other,M,Rejected
Other,F,Rejected
Other,F,Rejected
E,F,Accepted
Other,M,Accepted
F,M,Rejected
D,F,Rejected
D,F,Rejected
Other,F,Accepted
F,M,Rejected
Other,F,Accepted
Other,F,Rejected
B,M,Accepted
Other,F,Rejected
D,F,Accepted
A,M,Accepted
Other,F,Accepted
Other,M,Rejected
Other,M,Rejected
Other,F,Accepted
Other,M,Rejected
F,F,Rejected
Other,F,Rejected
Other,M,Accepted
Other,M,Accepted
Other,F,Rejected
Other,F,Rejected
Other,M,Accepted
Other,M,Rejected
Other,F,Rejected
Other,F,Accepted
A,M,Accepted
F,F,Rejected
Other,M,Accepted
Other,M,Rejected
Other,F,Accepted
A,M,Accepted
Other,F,Accepted
B,M,Accepted
Other,F,Accepted
E,F,Rejected
Other,M,Rejected
Other,F,Rejected
F,M,Rejected
D,F,Rejected
Other,M,Accepted
B,M,Accepted
A,F,Accepted
Other,M,Rejected
Other,M,Accepted
Other,M,Rejected
Other,M,Rejected
F,F,Rejected
Other,M,Rejected
Other,M,Accepted
Other,M,Rejected
B,M,Accepted
Other,F,Accepted
Other,M,Accepted
Other,F,Rejected
F,M,Rejected
Other,F,Rejected
Other,M,Rejected
F,M,Rejected
A,M,Rejected
Other,F,Accepted
Other,F,Rejected
Other,F,Rejected
Other,M,Rejected
Other,M,Rejected
Other,F,Accepted
Other,F,Accepted
C,M,Rejected
Other,F,Accepted
Other,M,Accepted
Other,F,Rejected
Other,M,Accepted
Other,M,Rejected
Other,F,Rejected
Other,M,Accepted
Other,F,Rejected
Other,M,Accepted
Other,M,Rejected
Other,M,Accepted
A,M,Rejected
Other,M,Rejected
C,F,Accepted
A,M,Accepted
F,M,Rejected
B,M,Accepted
Other,M,Rejected
B,M,Accepted
A,M,Rejected
Other,M,Rejected
Other,M,Rejected
Other,M,Rejected
Other,M,Accepted
Other,M,Rejected
Other,M,Accepted
Other,M,Accepted
Other,M,Accepted
Other,M,Rejected
Other,M,Rejected
Other,M,Rejected
Other,M,Rejected
E,F,Rejected
Other,M,Accepted
Other,F,Accepted
Other,M,Accepted
Other,F,Accepted
C,F,Rejected
Other,M,Rejected
Other,M,Rejected
B,M,Accepted
A,M,Rejected
F,M,Rejected
C,F,Rejected
A,M,Accepted
Other,M,Rejected
Other,F,Rejected
Other,M,Accepted
C,F,Rejected
Other,M,Rejected
E,F,Accepted
Other,M,Rejected
Other,M,Rejected
Other,F,Rejected
Other,M,Rejected
Other,M,Rejected
Other,M,Accepted
Other,F,Accepted
Other,F,Rejected
Other,M,Accepted
A,M,Accepted
C,F,Rejected
D,M,Rejected
Other,F,Accepted
F,M,Rejected
D,F,Accepted
A,F,Accepted
F,F,Rejected
Other,M,Rejected
Other,M,Rejected
A,M,Rejected
C,F,Rejected
Other,M,Accepted
Other,M,Rejected
Other,M,Rejected
A,M,Accepted
Other,M,Rejected
Other,M,Accepted
Other,F,Rejected
B,M,Rejected
Other,F,Rejected
Other,M,Rejected
Other,M,Accepted
Other,F,Rejected
E,M,Rejected
C,F,Rejected
Other,M,Accepted
Other,M,Rejected
D,F,Rejected
Other,F,Accepted
F,F,Accepted
Other,M,Rejected
Other,F,Rejected
A,M,Accepted
Other,F,Rejected
Other,M,Rejected
Other,M,Accepted
Other,F,Rejected
A,M,Accepted
E,F,Accepted
Other,F,Accepted
D,F,Rejected
Other,M,Rejected
B,M,Rejected
Other,F,Accepted
Other,M,Rejected
A,M,Rejected
Other,M,Accepted
E,F,Rejected
A,M,Accepted
Other,M,Rejected
Other,M,Accepted
Other,F,Accepted
D,M,Rejected
Other,M,Accepted
Other,F,Accepted
Other,M,Rejected
F,M,Rejected
